family_id,cutoff_exclusive,visits,history_start
family_000013,2026-W37,25,2026-07-13
family_000014,2026-W37,23,2026-07-13
family_000025,2026-W37,13,2026-07-13
family_000027,2026-W37,14,2026-07-13
family_000029,2026-W37,21,2026-07-13
family_000049,2026-W37,17,2026-07-13
family_000057,2026-W37,21,2026-07-13
family_000058,2026-W37,15,2026-07-13
family_000059,2026-W37,24,2026-07-13
family_000061,2026-W37,20,2026-07-13
family_000067,2026-W37,16,2026-07-13
family_000084,2026-W37,20,2026-07-13
family_000085,2026-W37,16,2026-07-13
family_000087,2026-W37,17,2026-07-13
family_000091,2026-W37,14,2026-07-13
family_000093,2026-W37,18,2026-07-13
family_000096,2026-W37,18,2026-07-13
family_000101,2026-W37,23,2026-07-13
family_000106,2026-W37,22,2026-07-13
family_000108,2026-W37,24,2026-07-13
family_000109,2026-W37,17,2026-07-13
family_000110,2026-W37,16,2026-07-13
family_000122,2026-W37,25,2026-07-13
family_000124,2026-W37,18,2026-07-13
family_000126,2026-W37,22,2026-07-13
family_000127,2026-W37,22,2026-07-13
family_000130,2026-W37,18,2026-07-13
family_000132,2026-W37,18,2026-07-13
family_000133,2026-W37,13,2026-07-13
family_000138,2026-W37,22,2026-07-13
family_000142,2026-W37,17,2026-07-13
family_000144,2026-W37,14,2026-07-13
family_000146,2026-W37,21,2026-07-13
family_000148,2026-W37,19,2026-07-13
family_000151,2026-W37,20,2026-07-13
family_000162,2026-W37,13,2026-07-13
family_000163,2026-W37,25,2026-07-13
family_000166,2026-W37,16,2026-07-13
family_000169,2026-W37,16,2026-07-13
family_000170,2026-W37,18,2026-07-13
family_000174,2026-W37,14,2026-07-13
family_000179,2026-W37,24,2026-07-13
family_000181,2026-W37,14,2026-07-13
family_000184,2026-W37,15,2026-07-13
family_000190,2026-W37,22,2026-07-13
family_000191,2026-W37,14,2026-07-13
family_000195,2026-W37,16,2026-07-13
family_000196,2026-W37,20,2026-07-13
family_000198,2026-W37,15,2026-07-13
family_000199,2026-W37,16,2026-07-13
family_000202,2026-W37,26,2026-07-13
family_000203,2026-W37,14,2026-07-13
family_000204,2026-W37,18,2026-07-13
family_000215,2026-W37,20,2026-07-13
family_000218,2026-W37,19,2026-07-13
family_000219,2026-W37,18,2026-07-13
family_000221,2026-W37,16,2026-07-13
family_000224,2026-W37,21,2026-07-13
family_000236,2026-W37,15,2026-07-13
family_000239,2026-W37,20,2026-07-13
family_000243,2026-W37,21,2026-07-13
family_000251,2026-W37,12,2026-07-13
family_000252,2026-W37,11,2026-07-13
family_000254,2026-W37,15,2026-07-13
family_000256,2026-W37,16,2026-07-13
family_000262,2026-W37,22,2026-07-13
family_000264,2026-W37,24,2026-07-13
family_000267,2026-W37,18,2026-07-13
family_000268,2026-W37,13,2026-07-13
family_000272,2026-W37,20,2026-07-13
family_000275,2026-W37,19,2026-07-13
family_000276,2026-W37,22,2026-07-13
family_000279,2026-W37,15,2026-07-13
family_000280,2026-W37,25,2026-07-13
family_000284,2026-W37,23,2026-07-13
family_000297,2026-W37,15,2026-07-13
family_000298,2026-W37,15,2026-07-13
family_000300,2026-W37,19,2026-07-13
family_000304,2026-W37,23,2026-07-13
family_000311,2026-W37,25,2026-07-13
