review_id,family_id,user_id,behavior_type
review_001,family_000202,u_000202,охотник
review_002,family_001624,u_001624,охотник
review_003,family_001415,u_001415,хозяин
review_004,family_001541,u_001541,хозяин
review_005,family_001590,u_001590,охотник
review_006,family_001853,u_001853,хозяин
review_007,family_001860,u_001860,категорийный
review_008,family_000170,u_000170,охотник
review_009,family_000267,u_000267,категорийный
review_010,family_000356,u_000356,категорийный
review_011,family_000148,u_000148,охотник
review_012,family_001878,u_001878,хозяин
review_013,family_000746,u_000746,охотник
review_014,family_000059,u_000059,охотник
review_015,family_001207,u_001207,категорийный
review_016,family_001083,u_001083,категорийный
review_017,family_001144,u_001144,категорийный
review_018,family_001237,u_001237,хозяин
review_019,family_001655,u_001655,категорийный
review_020,family_001267,u_001267,хозяин
review_021,family_000821,u_000821,категорийный
review_022,family_001834,u_001834,категорийный
review_023,family_000146,u_000146,охотник
review_024,family_000276,u_000276,категорийный
review_025,family_001498,u_001498,хозяин
review_026,family_001399,u_001399,хозяин
review_027,family_000122,u_000122,охотник
review_028,family_000896,u_000896,категорийный
review_029,family_001178,u_001178,категорийный
review_030,family_001689,u_001689,охотник
review_031,family_001815,u_001815,категорийный
review_032,family_001319,u_001319,хозяин
review_033,family_000388,u_000388,категорийный
review_034,family_000061,u_000061,охотник
review_035,family_001024,u_001024,хозяин
review_036,family_000405,u_000405,хозяин
review_037,family_000603,u_000603,хозяин
review_038,family_000483,u_000483,хозяин
review_039,family_001015,u_001015,охотник
review_040,family_000368,u_000368,охотник
