review_id,child_stage,network_home,weeks_observed,visits,items,observed_avg_check_rub,savings_rub,avg_weekly_saving_rub,promo_rate,markdown_rate,top_categories
review_001,1-2,ТС5,8,26,207,564.49,1718.75,214.84,0.4879,0.0966,детская гигиена;детские каши;молочка;хлеб;подгузники
review_002,2-3,ТСЧ,8,20,153,723.46,2058.21,257.28,0.5621,0.1111,детские каши;хлеб;молочка;подгузники;детская гигиена
review_003,0-6,ТСЧ,8,13,110,722.97,720.49,90.06,0.3455,0.0727,детская гигиена;молочка;хлеб;детские каши;фрукты
review_004,9-12,ТСЧ,8,17,134,796.53,902.04,112.76,0.2836,0.0448,детские каши;хлеб;детская гигиена;молочка;фрукты
review_005,0-6,ТСЧ,8,16,128,778.84,1787.73,223.47,0.5469,0.1172,хлеб;молочка;детские каши;подгузники;детская гигиена
review_006,6-9,ТС5,8,16,142,624.0,597.56,74.69,0.3028,0.0282,фрукты;молочка;подгузники;хлеб;детская гигиена
review_007,1-2,ТС5,8,16,124,577.23,622.06,77.76,0.4032,0.0,детская гигиена;детские каши;подгузники;фрукты;хлеб
review_008,0-6,ТС5,8,18,142,632.77,1385.45,173.18,0.5352,0.0845,детская гигиена;подгузники;детские каши;молочка;фрукты
review_009,6-9,ТС5,8,18,142,642.75,720.62,90.08,0.338,0.0211,детская гигиена;фрукты;детские каши;молочка;подгузники
review_010,6-9,ТС5,8,18,129,590.79,597.02,74.63,0.3023,0.0155,детские каши;молочка;хлеб;подгузники;фрукты
review_011,6-9,ТС5,8,19,163,625.52,1285.16,160.64,0.4724,0.0736,подгузники;молочка;детская гигиена;детские каши;фрукты
review_012,9-12,ТСЧ,8,23,185,811.98,948.76,118.59,0.2432,0.0108,подгузники;хлеб;фрукты;детская гигиена;молочка
review_013,0-6,ТС5,8,19,155,576.17,1021.06,127.63,0.4258,0.0903,хлеб;подгузники;фрукты;детская гигиена;детские каши
review_014,1-2,ТСХ,8,24,198,994.79,2688.73,336.09,0.4697,0.1061,хлеб;детские каши;фрукты;детская гигиена;подгузники
review_015,0-6,ТС5,8,22,179,613.6,670.07,83.76,0.257,0.0056,подгузники;детские каши;хлеб;фрукты;молочка
review_016,0-6,ТС5,8,20,175,638.12,849.2,106.15,0.3029,0.0514,фрукты;детские каши;детская гигиена;хлеб;молочка
review_017,1-2,ТС5,8,16,123,633.57,570.43,71.3,0.2927,0.0244,фрукты;детская гигиена;молочка;хлеб;подгузники
review_018,1-2,ТС5,8,16,115,649.64,446.6,55.82,0.2783,0.0,детская гигиена;хлеб;подгузники;детские каши;молочка
review_019,0-6,ТС5,8,12,109,638.37,430.98,53.87,0.2752,0.0092,детские каши;молочка;подгузники;фрукты;хлеб
review_020,0-6,ТС5,8,15,130,650.37,475.4,59.43,0.3077,0.0077,детская гигиена;детские каши;подгузники;фрукты;хлеб
review_021,9-12,ТС5,8,19,164,653.78,745.55,93.19,0.2622,0.0305,фрукты;детские каши;детская гигиена;молочка;хлеб
review_022,6-9,ТС5,8,23,177,606.61,808.17,101.02,0.2938,0.0339,хлеб;молочка;подгузники;фрукты;детские каши
review_023,2-3,ТСЧ,8,21,154,734.86,1651.32,206.41,0.4805,0.0779,подгузники;детская гигиена;хлеб;молочка;детские каши
review_024,2-3,ТС5,8,22,175,638.82,728.86,91.11,0.2629,0.0171,детские каши;подгузники;фрукты;детская гигиена;хлеб
review_025,1-2,ТС5,8,23,182,651.94,856.44,107.06,0.3022,0.011,детские каши;молочка;подгузники;хлеб;детская гигиена
review_026,2-3,ТС5,8,20,165,616.32,682.14,85.27,0.2909,0.0182,хлеб;детские каши;молочка;подгузники;детская гигиена
review_027,9-12,ТС5,8,25,208,576.41,2093.77,261.72,0.5144,0.1442,фрукты;молочка;детская гигиена;детские каши;хлеб
review_028,9-12,ТС5,8,17,129,671.08,551.12,68.89,0.2558,0.0155,подгузники;хлеб;молочка;детские каши;детская гигиена
review_029,2-3,ТС5,8,17,152,676.43,680.13,85.02,0.2763,0.0197,подгузники;фрукты;детские каши;детская гигиена;хлеб
review_030,9-12,ТСЧ,8,21,183,821.59,1961.47,245.18,0.541,0.0874,детская гигиена;фрукты;детские каши;подгузники;хлеб
review_031,2-3,ТСХ,8,22,186,963.31,1265.68,158.21,0.2796,0.0538,молочка;подгузники;хлеб;фрукты;детская гигиена
review_032,2-3,ТСХ,8,16,128,889.78,1012.47,126.56,0.3203,0.0469,фрукты;подгузники;молочка;детская гигиена;детские каши
review_033,1-2,ТС5,8,11,93,689.79,396.55,49.57,0.3441,0.0108,хлеб;детские каши;фрукты;молочка;подгузники
review_034,6-9,ТС5,8,20,157,594.11,1425.84,178.23,0.5669,0.0892,детская гигиена;подгузники;детские каши;фрукты;молочка
review_035,1-2,ТС5,8,17,133,659.11,641.34,80.17,0.3233,0.0301,молочка;хлеб;подгузники;детские каши;детская гигиена
review_036,6-9,ТС5,8,19,145,635.7,699.44,87.43,0.3034,0.0207,молочка;детская гигиена;подгузники;фрукты;детские каши
review_037,2-3,ТС5,8,15,108,630.41,546.87,68.36,0.2778,0.037,хлеб;детские каши;подгузники;детская гигиена;молочка
review_038,0-6,ТСЧ,8,16,138,811.12,541.34,67.67,0.2246,0.0217,молочка;детские каши;подгузники;детская гигиена;хлеб
review_039,1-2,ТС5,8,21,165,647.98,1770.07,221.26,0.4606,0.1515,детские каши;хлеб;молочка;подгузники;фрукты
review_040,2-3,ТС5,8,17,130,625.85,1322.73,165.34,0.4462,0.1154,молочка;подгузники;фрукты;детская гигиена;хлеб
