user_id,family_id,network_home,x5_segment,is_app_user,behavior_type,child_stage,city_bucket,base_freq_per_week,avg_check_rub,promo_share,markdown_share,top_categories
u_ivanovy,family_ivanovy,ТС5,дети до 3,true,хозяин,6-9,7,2.4,676.8,0.3,0.05,подгузники;детская гигиена;молочка;фрукты;хлеб
u_dima,family_dima,ТСЧ,дети до 3,true,охотник,2-3,12,2.1,853.2,0.5,0.25,молочка;хлеб;фрукты;подгузники;готовая еда
u_000002,family_000002,ТС5,молодёжь,true,хозяин,none,8,0.64,564.0,0.3,0.05,готовая еда;молочка;фрукты;напитки;снеки
u_000003,family_000003,ТС5,молодёжь,true,хозяин,none,20,0.53,564.0,0.3,0.05,снеки;молочка;выпечка;готовая еда;фрукты
u_000004,family_000004,ТС5,зрелые,true,хозяин,none,6,1.7,564.0,0.3,0.05,овощи;гигиена;хлеб;мясо;фрукты
u_000005,family_000005,ТС5,вредные привычки,true,хозяин,none,12,1.4,564.0,0.3,0.05,гигиена;молочка;фрукты;крупы;хлеб
u_000006,family_000006,ТС5,молодёжь,true,охотник,none,12,1.08,564.0,0.5,0.25,фрукты;готовая еда;молочка;напитки;выпечка
u_000007,family_000007,ТСХ,старшие,true,охотник,none,4,2.76,878.0,0.5,0.25,хлеб;овощи;крупы;рыба;творог
u_000008,family_000008,ТС5,молодёжь,true,категорийный,none,3,1.11,564.0,0.3,0.05,снеки;молочка;фрукты;готовая еда;выпечка
u_000009,family_000009,ТС5,старшие,true,охотник,none,18,2.44,564.0,0.5,0.25,овощи;молочка;крупы;творог;хлеб
u_000010,family_000010,ТС5,молодёжь,true,категорийный,none,19,1.38,564.0,0.3,0.05,напитки;снеки;выпечка;молочка;фрукты
u_000011,family_000011,ТС5,молодёжь,true,охотник,none,18,0.76,564.0,0.5,0.25,молочка;выпечка;фрукты;снеки;готовая еда
u_000012,family_000012,ТСЧ,молодёжь,true,хозяин,none,2,1.36,711.0,0.3,0.05,снеки;фрукты;выпечка;напитки;готовая еда
u_000013,family_000013,ТС5,дети до 3,true,хозяин,9-12,18,2.79,676.8,0.3,0.05,подгузники;хлеб;молочка;детские каши;детская гигиена
u_000014,family_000014,ТС5,дети до 3,true,хозяин,9-12,17,2.64,676.8,0.3,0.05,фрукты;подгузники;молочка;детские каши;хлеб
u_000015,family_000015,ТС5,зрелые,true,хозяин,none,17,1.92,564.0,0.3,0.05,мясо;овощи;фрукты;молочка;гигиена
u_000016,family_000016,ТСЧ,старшие,true,охотник,none,10,2.48,711.0,0.5,0.25,крупы;творог;молочка;хлеб;рыба
u_000017,family_000017,ТСЧ,старшие,true,хозяин,none,5,2.26,711.0,0.3,0.05,хлеб;творог;крупы;рыба;овощи
u_000018,family_000018,ТСЧ,старшие,true,охотник,none,7,3.43,711.0,0.5,0.25,хлеб;овощи;рыба;творог;крупы
u_000019,family_000019,ТС5,молодёжь,true,хозяин,none,19,1.05,564.0,0.3,0.05,молочка;снеки;готовая еда;выпечка;напитки
u_000020,family_000020,ТС5,старшие,true,охотник,none,3,3.03,564.0,0.5,0.25,овощи;хлеб;крупы;рыба;молочка
u_000021,family_000021,ТСХ,зрелые,true,хозяин,none,8,1.78,878.0,0.3,0.05,гигиена;фрукты;хлеб;молочка;крупы
u_000022,family_000022,ТС5,молодёжь,true,хозяин,none,2,1.17,564.0,0.3,0.05,фрукты;готовая еда;молочка;снеки;напитки
u_000023,family_000023,ТСЧ,молодёжь,true,хозяин,none,18,0.95,711.0,0.3,0.05,выпечка;снеки;напитки;молочка;готовая еда
u_000024,family_000024,ТСЧ,молодёжь,true,охотник,none,18,0.6,711.0,0.5,0.25,фрукты;молочка;готовая еда;выпечка;напитки
u_000025,family_000025,ТС5,дети до 3,true,хозяин,1-2,2,1.75,676.8,0.3,0.05,подгузники;детские каши;молочка;детская гигиена;фрукты
u_000026,family_000026,ТС5,старшие,true,категорийный,none,18,3.32,564.0,0.3,0.05,хлеб;крупы;творог;рыба;молочка
u_000027,family_000027,ТСЧ,дети до 3,true,охотник,9-12,2,1.58,853.2,0.5,0.25,детские каши;фрукты;детская гигиена;подгузники;молочка
u_000028,family_000028,ТСЧ,молодёжь,true,хозяин,none,8,0.9,711.0,0.3,0.05,молочка;снеки;готовая еда;напитки;выпечка
u_000029,family_000029,ТС5,дети до 3,true,охотник,9-12,7,2.5,676.8,0.5,0.25,молочка;детская гигиена;хлеб;фрукты;подгузники
