receipt_id,family_id,user_id,week,network_home,check_total_rub,savings_rub,items_count
r_00000001,family_ivanovy,u_ivanovy,2026-W25,ТС5,730.49,0.00,5
r_00000002,family_ivanovy,u_ivanovy,2026-W25,ТС5,830.42,90.34,5
r_00000003,family_ivanovy,u_ivanovy,2026-W25,ТС5,582.52,27.67,6
r_00000004,family_ivanovy,u_ivanovy,2026-W26,ТС5,861.94,57.28,7
r_00000005,family_ivanovy,u_ivanovy,2026-W26,ТС5,575.52,8.67,6
r_00000006,family_ivanovy,u_ivanovy,2026-W26,ТС5,557.59,53.45,10
r_00000007,family_ivanovy,u_ivanovy,2026-W27,ТС5,388.63,37.74,7
r_00000008,family_ivanovy,u_ivanovy,2026-W27,ТС5,531.95,21.76,10
r_00000009,family_ivanovy,u_ivanovy,2026-W28,ТС5,468.56,47.06,5
r_00000010,family_ivanovy,u_ivanovy,2026-W28,ТС5,549.06,17.02,9
r_00000011,family_ivanovy,u_ivanovy,2026-W29,ТС5,760.32,8.97,8
r_00000012,family_ivanovy,u_ivanovy,2026-W29,ТС5,535.91,0.00,5
r_00000013,family_ivanovy,u_ivanovy,2026-W30,ТС5,495.53,29.63,5
r_00000014,family_ivanovy,u_ivanovy,2026-W30,ТС5,691.92,65.18,11
r_00000015,family_ivanovy,u_ivanovy,2026-W31,ТС5,600.85,7.94,10
r_00000016,family_ivanovy,u_ivanovy,2026-W31,ТС5,765.69,13.44,11
r_00000017,family_ivanovy,u_ivanovy,2026-W32,ТС5,627.25,98.76,8
r_00000018,family_ivanovy,u_ivanovy,2026-W32,ТС5,553.35,16.25,9
r_00000019,family_ivanovy,u_ivanovy,2026-W32,ТС5,503.35,80.95,8
r_00000020,family_ivanovy,u_ivanovy,2026-W33,ТС5,668.74,35.50,9
r_00000021,family_ivanovy,u_ivanovy,2026-W33,ТС5,466.80,18.22,9
r_00000022,family_ivanovy,u_ivanovy,2026-W34,ТС5,572.53,6.38,10
r_00000023,family_ivanovy,u_ivanovy,2026-W34,ТС5,786.90,79.91,11
r_00000024,family_ivanovy,u_ivanovy,2026-W35,ТС5,557.11,78.56,8
r_00000025,family_ivanovy,u_ivanovy,2026-W35,ТС5,322.19,12.65,9
r_00000026,family_ivanovy,u_ivanovy,2026-W36,ТС5,432.08,13.89,5
r_00000027,family_ivanovy,u_ivanovy,2026-W36,ТС5,717.13,12.92,11
r_00000028,family_dima,u_dima,2026-W25,ТСЧ,667.61,66.05,7
r_00000029,family_dima,u_dima,2026-W25,ТСЧ,819.11,177.47,11
r_00000030,family_dima,u_dima,2026-W26,ТСЧ,670.23,119.09,8
r_00000031,family_dima,u_dima,2026-W26,ТСЧ,718.06,39.55,11
r_00000032,family_dima,u_dima,2026-W27,ТСЧ,823.48,45.20,5
r_00000033,family_dima,u_dima,2026-W27,ТСЧ,613.04,163.48,5
r_00000034,family_dima,u_dima,2026-W28,ТСЧ,752.08,99.11,11
r_00000035,family_dima,u_dima,2026-W28,ТСЧ,687.20,125.25,7
r_00000036,family_dima,u_dima,2026-W28,ТСЧ,716.82,210.80,11
r_00000037,family_dima,u_dima,2026-W29,ТСЧ,806.46,41.68,9
r_00000038,family_dima,u_dima,2026-W29,ТСЧ,762.18,68.18,9
r_00000039,family_dima,u_dima,2026-W30,ТСЧ,740.29,101.43,7
r_00000040,family_dima,u_dima,2026-W30,ТСЧ,972.93,149.57,6
r_00000041,family_dima,u_dima,2026-W31,ТСЧ,845.32,62.12,11
r_00000042,family_dima,u_dima,2026-W31,ТСЧ,862.00,40.11,6
r_00000043,family_dima,u_dima,2026-W31,ТСЧ,770.28,151.12,10
r_00000044,family_dima,u_dima,2026-W32,ТСЧ,547.77,231.06,6
r_00000045,family_dima,u_dima,2026-W32,ТСЧ,846.41,103.70,11
r_00000046,family_dima,u_dima,2026-W33,ТСЧ,557.06,43.93,5
r_00000047,family_dima,u_dima,2026-W33,ТСЧ,672.63,123.64,6
r_00000048,family_dima,u_dima,2026-W34,ТСЧ,747.86,113.17,8
r_00000049,family_dima,u_dima,2026-W34,ТСЧ,856.89,119.02,10
r_00000050,family_dima,u_dima,2026-W35,ТСЧ,593.73,154.01,7
r_00000051,family_dima,u_dima,2026-W35,ТСЧ,1001.86,46.56,7
r_00000052,family_dima,u_dima,2026-W36,ТСЧ,688.76,133.45,11
r_00000053,family_dima,u_dima,2026-W36,ТСЧ,994.55,108.66,9
r_00000054,family_000002,u_000002,2026-W27,ТС5,592.75,33.74,9
r_00000055,family_000002,u_000002,2026-W28,ТС5,549.66,36.53,9
r_00000056,family_000002,u_000002,2026-W29,ТС5,600.30,29.57,11
r_00000057,family_000002,u_000002,2026-W31,ТС5,419.42,0.00,6
r_00000058,family_000002,u_000002,2026-W35,ТС5,558.97,40.80,10
r_00000059,family_000002,u_000002,2026-W36,ТС5,433.05,16.51,6
r_00000060,family_000003,u_000003,2026-W25,ТС5,587.50,41.28,8
r_00000061,family_000003,u_000003,2026-W28,ТС5,534.08,11.36,5
r_00000062,family_000003,u_000003,2026-W33,ТС5,620.17,16.00,8
r_00000063,family_000004,u_000004,2026-W25,ТС5,721.55,12.36,7
r_00000064,family_000004,u_000004,2026-W25,ТС5,486.29,40.60,5
r_00000065,family_000004,u_000004,2026-W26,ТС5,323.07,41.31,10
r_00000066,family_000004,u_000004,2026-W26,ТС5,504.57,24.33,6
r_00000067,family_000004,u_000004,2026-W27,ТС5,420.53,55.87,9
r_00000068,family_000004,u_000004,2026-W27,ТС5,376.40,0.00,6
r_00000069,family_000004,u_000004,2026-W28,ТС5,711.30,20.20,11
r_00000070,family_000004,u_000004,2026-W28,ТС5,420.88,0.00,6
r_00000071,family_000004,u_000004,2026-W29,ТС5,658.29,42.55,6
r_00000072,family_000004,u_000004,2026-W29,ТС5,552.76,40.18,9
r_00000073,family_000004,u_000004,2026-W30,ТС5,509.97,30.47,9
r_00000074,family_000004,u_000004,2026-W30,ТС5,381.99,48.36,5
r_00000075,family_000004,u_000004,2026-W31,ТС5,269.62,9.85,5
r_00000076,family_000004,u_000004,2026-W31,ТС5,468.01,23.74,5
r_00000077,family_000004,u_000004,2026-W32,ТС5,274.70,23.47,9
r_00000078,family_000004,u_000004,2026-W32,ТС5,551.57,40.99,5
r_00000079,family_000004,u_000004,2026-W34,ТС5,523.80,34.73,5
r_00000080,family_000004,u_000004,2026-W34,ТС5,465.43,12.80,5
r_00000081,family_000004,u_000004,2026-W34,ТС5,653.82,47.21,8
r_00000082,family_000004,u_000004,2026-W35,ТС5,570.02,30.69,5
r_00000083,family_000004,u_000004,2026-W35,ТС5,508.78,17.50,10
r_00000084,family_000004,u_000004,2026-W36,ТС5,302.12,15.31,10
r_00000085,family_000005,u_000005,2026-W25,ТС5,585.54,33.23,10
r_00000086,family_000005,u_000005,2026-W25,ТС5,649.79,35.24,8
r_00000087,family_000005,u_000005,2026-W26,ТС5,404.09,0.00,6
r_00000088,family_000005,u_000005,2026-W26,ТС5,676.91,54.71,11
r_00000089,family_000005,u_000005,2026-W27,ТС5,479.73,47.72,8
r_00000090,family_000005,u_000005,2026-W28,ТС5,396.58,3.24,8
r_00000091,family_000005,u_000005,2026-W29,ТС5,483.38,116.07,6
r_00000092,family_000005,u_000005,2026-W30,ТС5,608.93,24.77,9
r_00000093,family_000005,u_000005,2026-W30,ТС5,495.72,15.02,11
r_00000094,family_000005,u_000005,2026-W30,ТС5,510.65,36.59,6
r_00000095,family_000005,u_000005,2026-W31,ТС5,610.33,37.49,8
r_00000096,family_000005,u_000005,2026-W32,ТС5,373.60,21.53,11
r_00000097,family_000005,u_000005,2026-W32,ТС5,634.74,15.99,5
r_00000098,family_000005,u_000005,2026-W33,ТС5,497.65,15.36,8
r_00000099,family_000005,u_000005,2026-W34,ТС5,445.59,26.74,5
r_00000100,family_000005,u_000005,2026-W34,ТС5,431.51,3.96,10
r_00000101,family_000005,u_000005,2026-W35,ТС5,623.79,38.17,11
r_00000102,family_000005,u_000005,2026-W35,ТС5,529.94,29.54,9
r_00000103,family_000005,u_000005,2026-W36,ТС5,423.20,36.08,8
r_00000104,family_000006,u_000006,2026-W25,ТС5,579.55,114.18,7
r_00000105,family_000006,u_000006,2026-W26,ТС5,380.97,77.62,11
r_00000106,family_000006,u_000006,2026-W27,ТС5,417.68,80.93,7
r_00000107,family_000006,u_000006,2026-W27,ТС5,686.63,131.98,10
r_00000108,family_000006,u_000006,2026-W28,ТС5,527.07,81.42,11
r_00000109,family_000006,u_000006,2026-W29,ТС5,457.36,77.44,10
r_00000110,family_000006,u_000006,2026-W30,ТС5,577.59,111.06,10
r_00000111,family_000006,u_000006,2026-W31,ТС5,415.81,110.17,8
r_00000112,family_000006,u_000006,2026-W32,ТС5,436.33,70.35,10
r_00000113,family_000006,u_000006,2026-W33,ТС5,614.26,65.87,9
r_00000114,family_000006,u_000006,2026-W34,ТС5,445.48,174.73,5
r_00000115,family_000006,u_000006,2026-W35,ТС5,250.77,60.17,8
r_00000116,family_000006,u_000006,2026-W36,ТС5,539.33,9.95,5
r_00000117,family_000007,u_000007,2026-W25,ТСХ,1121.51,57.52,11
r_00000118,family_000007,u_000007,2026-W25,ТСХ,897.50,128.65,9
r_00000119,family_000007,u_000007,2026-W25,ТСХ,924.83,91.92,9
r_00000120,family_000007,u_000007,2026-W26,ТСХ,751.44,180.08,9
r_00000121,family_000007,u_000007,2026-W26,ТСХ,668.87,120.72,5
r_00000122,family_000007,u_000007,2026-W27,ТСХ,1023.33,115.19,8
r_00000123,family_000007,u_000007,2026-W27,ТСХ,697.29,109.61,11
r_00000124,family_000007,u_000007,2026-W28,ТСХ,799.29,118.91,11
r_00000125,family_000007,u_000007,2026-W28,ТСХ,915.99,122.03,5
r_00000126,family_000007,u_000007,2026-W28,ТСХ,811.36,88.58,6
r_00000127,family_000007,u_000007,2026-W29,ТСХ,662.76,53.61,9
