user_id,family_id,network_home,x5_segment,is_app_user,behavior_type,child_stage,city_bucket,base_freq_per_week,avg_check_rub,promo_share,markdown_share,top_categories
u_ivanovy,family_ivanovy,ТС5,дети до 3,true,хозяин,6-9,7,2.4,676.8,0.3,0.05,подгузники;детская гигиена;молочка;фрукты;хлеб
u_dima,family_dima,ТСЧ,дети до 3,true,охотник,2-3,12,2.1,853.2,0.5,0.25,молочка;хлеб;фрукты;подгузники;готовая еда
u_000013,family_000013,ТС5,дети до 3,true,хозяин,9-12,18,2.79,676.8,0.3,0.05,подгузники;хлеб;молочка;детские каши;детская гигиена
u_000014,family_000014,ТС5,дети до 3,true,хозяин,9-12,17,2.64,676.8,0.3,0.05,фрукты;подгузники;молочка;детские каши;хлеб
u_000025,family_000025,ТС5,дети до 3,true,хозяин,1-2,2,1.75,676.8,0.3,0.05,подгузники;детские каши;молочка;детская гигиена;фрукты
u_000027,family_000027,ТСЧ,дети до 3,true,охотник,9-12,2,1.58,853.2,0.5,0.25,детские каши;фрукты;детская гигиена;подгузники;молочка
u_000029,family_000029,ТС5,дети до 3,true,охотник,9-12,7,2.5,676.8,0.5,0.25,молочка;детская гигиена;хлеб;фрукты;подгузники
u_000049,family_000049,ТСЧ,дети до 3,true,охотник,1-2,16,2.1,853.2,0.5,0.25,детская гигиена;подгузники;фрукты;хлеб;детские каши
u_000057,family_000057,ТС5,дети до 3,true,хозяин,9-12,13,2.59,676.8,0.3,0.05,детские каши;детская гигиена;подгузники;фрукты;хлеб
u_000058,family_000058,ТС5,дети до 3,true,категорийный,6-9,2,1.89,676.8,0.3,0.05,молочка;детская гигиена;детские каши;фрукты;хлеб
u_000059,family_000059,ТСХ,дети до 3,true,охотник,1-2,9,2.75,1053.6,0.5,0.25,детские каши;подгузники;фрукты;детская гигиена;хлеб
u_000061,family_000061,ТС5,дети до 3,true,охотник,6-9,15,2.55,676.8,0.5,0.25,молочка;детская гигиена;подгузники;детские каши;фрукты
u_000067,family_000067,ТС5,дети до 3,true,хозяин,1-2,11,1.77,676.8,0.3,0.05,детская гигиена;молочка;фрукты;хлеб;детские каши
u_000084,family_000084,ТСЧ,дети до 3,true,охотник,6-9,16,2.28,853.2,0.5,0.25,детские каши;молочка;детская гигиена;фрукты;хлеб
u_000085,family_000085,ТС5,дети до 3,true,хозяин,9-12,14,2.0,676.8,0.3,0.05,хлеб;подгузники;детская гигиена;детские каши;молочка
u_000087,family_000087,ТСЧ,дети до 3,true,охотник,0-6,18,2.19,853.2,0.5,0.25,подгузники;детская гигиена;молочка;детские каши;фрукты
u_000091,family_000091,ТС5,дети до 3,true,хозяин,1-2,18,1.72,676.8,0.3,0.05,детская гигиена;фрукты;хлеб;подгузники;детские каши
u_000093,family_000093,ТС5,дети до 3,true,хозяин,2-3,13,2.18,676.8,0.3,0.05,молочка;детская гигиена;фрукты;хлеб;детские каши
u_000096,family_000096,ТС5,дети до 3,true,хозяин,1-2,9,2.01,676.8,0.3,0.05,хлеб;детские каши;подгузники;детская гигиена;молочка
u_000101,family_000101,ТС5,дети до 3,true,хозяин,9-12,1,2.85,676.8,0.3,0.05,детские каши;молочка;детская гигиена;подгузники;хлеб
u_000106,family_000106,ТС5,дети до 3,true,охотник,6-9,3,2.86,676.8,0.5,0.25,молочка;детские каши;детская гигиена;подгузники;хлеб
u_000108,family_000108,ТСХ,дети до 3,true,хозяин,0-6,5,2.63,1053.6,0.3,0.05,детская гигиена;детские каши;молочка;подгузники;хлеб
u_000109,family_000109,ТС5,дети до 3,true,хозяин,9-12,19,2.07,676.8,0.3,0.05,хлеб;молочка;подгузники;фрукты;детские каши
u_000110,family_000110,ТС5,дети до 3,true,категорийный,9-12,20,1.83,676.8,0.3,0.05,подгузники;детские каши;молочка;фрукты;детская гигиена
u_000122,family_000122,ТС5,дети до 3,true,охотник,9-12,13,2.99,676.8,0.5,0.25,фрукты;молочка;детские каши;хлеб;детская гигиена
u_000124,family_000124,ТС5,дети до 3,true,хозяин,0-6,11,2.14,676.8,0.3,0.05,хлеб;молочка;фрукты;подгузники;детская гигиена
u_000126,family_000126,ТСЧ,дети до 3,true,охотник,1-2,12,2.81,853.2,0.5,0.25,детские каши;подгузники;молочка;хлеб;детская гигиена
u_000127,family_000127,ТС5,дети до 3,true,хозяин,1-2,8,2.77,676.8,0.3,0.05,молочка;фрукты;хлеб;подгузники;детская гигиена
