receipt_id,sku,category,qty,price_shelf,price_paid,is_promo,is_markdown,is_excluded
r_00000001,sku_05_00,фрукты,1,143.02,143.02,false,false,false
r_00000001,sku_14_01,снеки,1,141.28,141.28,false,false,false
r_00000001,sku_05_02,фрукты,1,147.09,147.09,false,false,false
r_00000001,sku_07_03,курица,1,183.63,183.63,false,false,false
r_00000001,sku_00_04,молочка,1,115.47,115.47,false,false,false
r_00000002,sku_05_00,фрукты,1,248.53,203.71,true,false,false
r_00000002,sku_04_01,овощи,1,125.52,107.42,true,false,false
r_00000002,sku_25_02,заменители грудного молока,1,134.77,134.77,false,false,true
r_00000002,sku_24_03,детские творожки,1,190.93,163.52,true,false,false
r_00000002,sku_26_04,детская гигиена,1,221.01,221.01,false,false,false
r_00000003,sku_21_00,подгузники,1,55.82,55.82,false,false,false
r_00000003,sku_05_01,фрукты,1,118.82,118.82,false,false,false
r_00000003,sku_03_02,хлеб,1,111.15,111.15,false,false,false
r_00000003,sku_05_03,фрукты,1,127.32,127.32,false,false,false
r_00000003,sku_05_04,фрукты,1,72.53,60.34,true,false,false
r_00000003,sku_21_05,подгузники,1,124.56,109.07,true,false,false
r_00000004,sku_26_00,детская гигиена,1,112.36,112.36,false,false,false
r_00000004,sku_02_01,творог,1,154.42,154.42,false,false,false
r_00000004,sku_21_02,подгузники,1,100.68,91.96,true,false,false
r_00000004,sku_03_03,хлеб,1,97.64,76.40,true,false,false
r_00000004,sku_03_04,хлеб,1,126.10,98.78,true,false,false
r_00000004,sku_21_05,подгузники,1,152.30,152.30,false,false,false
r_00000004,sku_21_06,подгузники,1,175.72,175.72,false,false,false
r_00000005,sku_03_00,хлеб,1,102.78,102.78,false,false,false
r_00000005,sku_05_01,фрукты,1,105.50,105.50,false,false,false
r_00000005,sku_03_02,хлеб,1,73.98,73.98,false,false,false
r_00000005,sku_00_03,молочка,1,82.82,74.16,true,false,false
r_00000005,sku_00_04,молочка,1,103.68,103.68,false,false,false
r_00000005,sku_06_05,мясо,1,115.42,115.42,false,false,false
r_00000006,sku_03_00,хлеб,1,68.56,68.56,false,false,false
r_00000006,sku_21_01,подгузники,1,66.34,66.34,false,false,false
r_00000006,sku_00_02,молочка,1,72.65,72.65,false,false,false
r_00000006,sku_00_03,молочка,1,41.40,36.27,true,false,false
r_00000006,sku_14_04,снеки,1,45.86,45.86,false,false,false
r_00000006,sku_26_05,детская гигиена,1,46.47,46.47,false,false,false
r_00000006,sku_26_06,детская гигиена,1,75.75,60.38,true,false,false
r_00000006,sku_13_07,выпечка,1,73.52,58.16,true,false,false
r_00000006,sku_26_08,детская гигиена,1,46.61,40.54,true,false,false
r_00000006,sku_05_09,фрукты,1,73.88,62.36,true,false,false
r_00000007,sku_00_00,молочка,1,42.46,42.46,false,false,false
r_00000007,sku_26_01,детская гигиена,1,49.98,49.98,false,false,false
r_00000007,sku_26_02,детская гигиена,1,38.03,38.03,false,false,false
r_00000007,sku_03_03,хлеб,1,85.54,85.54,false,false,false
r_00000007,sku_01_04,кефир/йогурты,1,87.27,87.27,false,false,false
r_00000007,sku_00_05,молочка,1,76.88,43.53,false,true,false
r_00000007,sku_26_06,детская гигиена,1,46.22,41.83,true,false,false
r_00000008,sku_26_00,детская гигиена,1,58.21,58.21,false,false,false
r_00000008,sku_00_01,молочка,1,74.06,74.06,false,false,false
r_00000008,sku_00_02,молочка,1,33.16,33.16,false,false,false
r_00000008,sku_03_03,хлеб,1,60.01,60.01,false,false,false
r_00000008,sku_03_04,хлеб,1,74.08,74.08,false,false,false
r_00000008,sku_03_05,хлеб,1,42.32,42.32,false,false,false
r_00000008,sku_24_06,детские творожки,1,74.28,59.63,true,false,false
r_00000008,sku_05_07,фрукты,1,34.20,27.08,true,false,false
r_00000008,sku_03_08,хлеб,1,63.48,63.48,false,false,false
r_00000008,sku_05_09,фрукты,1,39.90,39.90,false,false,false
r_00000009,sku_05_00,фрукты,1,83.56,73.30,true,false,false
r_00000009,sku_00_01,молочка,1,127.99,113.87,true,false,false
r_00000009,sku_09_02,крупы,1,72.88,72.88,false,false,false
r_00000009,sku_28_03,табак,1,75.81,75.81,false,false,true
r_00000009,sku_27_04,алкоголь,1,155.38,132.70,true,false,true
r_00000010,sku_21_00,подгузники,1,59.93,59.93,false,false,false
r_00000010,sku_26_01,детская гигиена,1,81.40,81.40,false,false,false
r_00000010,sku_21_02,подгузники,1,57.65,57.65,false,false,false
r_00000010,sku_22_03,детское пюре,1,69.16,63.58,true,false,false
r_00000010,sku_23_04,детские каши,1,89.98,78.54,true,false,false
r_00000010,sku_26_05,детская гигиена,1,50.36,50.36,false,false,false
r_00000010,sku_21_06,подгузники,1,73.76,73.76,false,false,false
r_00000010,sku_26_07,детская гигиена,1,40.10,40.10,false,false,false
r_00000010,sku_17_08,сладкое,1,43.74,43.74,false,false,false
r_00000011,sku_26_00,детская гигиена,1,115.02,115.02,false,false,false
r_00000011,sku_03_01,хлеб,1,106.38,106.38,false,false,false
r_00000011,sku_19_02,бытовая химия,1,110.63,110.63,false,false,false
r_00000011,sku_26_03,детская гигиена,1,60.69,51.73,true,false,false
r_00000011,sku_02_04,творог,1,91.32,91.32,false,false,false
r_00000011,sku_03_05,хлеб,1,118.41,118.41,false,false,false
r_00000011,sku_05_06,фрукты,1,70.14,70.14,false,false,false
r_00000011,sku_00_07,молочка,1,96.69,96.69,false,false,false
r_00000012,sku_21_00,подгузники,1,83.72,83.72,false,false,false
r_00000012,sku_23_01,детские каши,1,133.26,133.26,false,false,false
r_00000012,sku_26_02,детская гигиена,1,146.57,146.57,false,false,false
r_00000012,sku_21_03,подгузники,1,84.90,84.90,false,false,false
r_00000012,sku_21_04,подгузники,1,87.46,87.46,false,false,false
r_00000013,sku_00_00,молочка,1,94.54,85.29,true,false,false
r_00000013,sku_05_01,фрукты,1,114.94,94.57,true,false,false
r_00000013,sku_03_02,хлеб,1,59.48,59.48,false,false,false
r_00000013,sku_03_03,хлеб,1,145.47,145.47,false,false,false
r_00000013,sku_21_04,подгузники,1,110.73,110.73,false,false,false
r_00000014,sku_00_00,молочка,1,76.56,76.56,false,false,false
r_00000014,sku_05_01,фрукты,1,74.83,74.83,false,false,false
r_00000014,sku_05_02,фрукты,1,56.32,34.42,false,true,false
r_00000014,sku_26_03,детская гигиена,1,74.51,74.51,false,false,false
r_00000014,sku_05_04,фрукты,1,81.69,66.41,true,false,false
r_00000014,sku_03_05,хлеб,1,65.27,65.27,false,false,false
r_00000014,sku_18_06,замороженное,1,78.37,78.37,false,false,false
r_00000014,sku_03_07,хлеб,1,69.70,59.66,true,false,false
r_00000014,sku_05_08,фрукты,1,55.01,45.85,true,false,false
r_00000014,sku_05_09,фрукты,1,82.12,73.32,true,false,false
r_00000014,sku_03_10,хлеб,1,42.72,42.72,false,false,false
r_00000015,sku_05_00,фрукты,1,66.99,66.99,false,false,false
r_00000015,sku_21_01,подгузники,1,79.73,71.79,true,false,false
r_00000015,sku_05_02,фрукты,1,40.32,40.32,false,false,false
r_00000015,sku_00_03,молочка,1,55.71,55.71,false,false,false
r_00000015,sku_00_04,молочка,1,77.93,77.93,false,false,false
r_00000015,sku_03_05,хлеб,1,64.30,64.30,false,false,false
r_00000015,sku_21_06,подгузники,1,49.22,49.22,false,false,false
r_00000015,sku_03_07,хлеб,1,52.07,52.07,false,false,false
r_00000015,sku_08_08,рыба,1,78.83,78.83,false,false,false
r_00000015,sku_03_09,хлеб,1,43.68,43.68,false,false,false
r_00000016,sku_03_00,хлеб,1,52.44,52.44,false,false,false
r_00000016,sku_11_01,консервы,1,47.04,47.04,false,false,false
r_00000016,sku_00_02,молочка,1,97.20,97.20,false,false,false
r_00000016,sku_03_03,хлеб,1,86.57,86.57,false,false,false
r_00000016,sku_05_04,фрукты,1,94.42,94.42,false,false,false
r_00000016,sku_21_05,подгузники,1,40.73,40.73,false,false,false
r_00000016,sku_26_06,детская гигиена,1,50.97,50.97,false,false,false
r_00000016,sku_21_07,подгузники,1,79.85,66.41,true,false,false
r_00000016,sku_00_08,молочка,1,82.36,82.36,false,false,false
r_00000016,sku_00_09,молочка,1,84.80,84.80,false,false,false
r_00000016,sku_03_10,хлеб,1,62.75,62.75,false,false,false
r_00000017,sku_00_00,молочка,1,80.52,80.52,false,false,false
r_00000017,sku_26_01,детская гигиена,1,57.37,52.71,true,false,false
r_00000017,sku_00_02,молочка,1,66.47,39.90,false,true,false
r_00000017,sku_05_03,фрукты,1,122.66,122.66,false,false,false
r_00000017,sku_11_04,консервы,1,64.27,64.27,false,false,false
r_00000017,sku_00_05,молочка,1,134.32,108.20,true,false,false
r_00000017,sku_00_06,молочка,1,107.93,84.65,true,false,false
r_00000017,sku_00_07,молочка,1,92.47,74.34,true,false,false
r_00000018,sku_20_00,гигиена,1,36.26,28.44,true,false,false
r_00000018,sku_05_01,фрукты,1,73.46,73.46,false,false,false
r_00000018,sku_26_02,детская гигиена,1,54.63,54.63,false,false,false
r_00000018,sku_00_03,молочка,1,68.97,68.97,false,false,false
r_00000018,sku_00_04,молочка,1,84.62,76.19,true,false,false
r_00000018,sku_03_05,хлеб,1,83.75,83.75,false,false,false
r_00000018,sku_00_06,молочка,1,36.89,36.89,false,false,false
r_00000018,sku_21_07,подгузники,1,72.16,72.16,false,false,false
r_00000018,sku_00_08,молочка,1,58.86,58.86,false,false,false
r_00000019,sku_05_00,фрукты,1,53.27,43.77,true,false,false
r_00000019,sku_14_01,снеки,1,61.87,54.41,true,false,false
r_00000019,sku_06_02,мясо,1,52.29,46.41,true,false,false
r_00000019,sku_21_03,подгузники,1,87.59,79.05,true,false,false
r_00000019,sku_21_04,подгузники,1,57.53,57.53,false,false,false
r_00000019,sku_26_05,детская гигиена,1,94.01,78.01,true,false,false
r_00000019,sku_05_06,фрукты,1,85.02,51.45,false,true,false
r_00000019,sku_26_07,детская гигиена,1,92.71,92.71,false,false,false
r_00000020,sku_26_00,детская гигиена,1,89.40,89.40,false,false,false
r_00000020,sku_15_01,напитки,1,51.08,51.08,false,false,false
r_00000020,sku_01_02,кефир/йогурты,1,118.36,99.54,true,false,false
r_00000020,sku_05_03,фрукты,1,86.07,86.07,false,false,false
r_00000020,sku_05_04,фрукты,1,76.29,76.29,false,false,false
r_00000020,sku_05_05,фрукты,1,55.44,55.44,false,false,false
r_00000020,sku_21_06,подгузники,1,65.23,65.23,false,false,false
