receipt_id,family_id,user_id,week,network_home,check_total_rub,savings_rub,items_count
r_00000001,family_ivanovy,u_ivanovy,2026-W25,ТС5,730.49,0.00,5
r_00000002,family_ivanovy,u_ivanovy,2026-W25,ТС5,830.42,90.34,5
r_00000003,family_ivanovy,u_ivanovy,2026-W25,ТС5,582.52,27.67,6
r_00000004,family_ivanovy,u_ivanovy,2026-W26,ТС5,861.94,57.28,7
r_00000005,family_ivanovy,u_ivanovy,2026-W26,ТС5,575.52,8.67,6
r_00000006,family_ivanovy,u_ivanovy,2026-W26,ТС5,557.59,53.45,10
r_00000007,family_ivanovy,u_ivanovy,2026-W27,ТС5,388.63,37.74,7
r_00000008,family_ivanovy,u_ivanovy,2026-W27,ТС5,531.95,21.76,10
r_00000009,family_ivanovy,u_ivanovy,2026-W28,ТС5,468.56,47.06,5
r_00000010,family_ivanovy,u_ivanovy,2026-W28,ТС5,549.06,17.02,9
r_00000011,family_ivanovy,u_ivanovy,2026-W29,ТС5,760.32,8.97,8
r_00000012,family_ivanovy,u_ivanovy,2026-W29,ТС5,535.91,0.00,5
r_00000013,family_ivanovy,u_ivanovy,2026-W30,ТС5,495.53,29.63,5
r_00000014,family_ivanovy,u_ivanovy,2026-W30,ТС5,691.92,65.18,11
r_00000015,family_ivanovy,u_ivanovy,2026-W31,ТС5,600.85,7.94,10
r_00000016,family_ivanovy,u_ivanovy,2026-W31,ТС5,765.69,13.44,11
r_00000017,family_ivanovy,u_ivanovy,2026-W32,ТС5,627.25,98.76,8
r_00000018,family_ivanovy,u_ivanovy,2026-W32,ТС5,553.35,16.25,9
r_00000019,family_ivanovy,u_ivanovy,2026-W32,ТС5,503.35,80.95,8
r_00000020,family_ivanovy,u_ivanovy,2026-W33,ТС5,668.74,35.50,9
r_00000021,family_ivanovy,u_ivanovy,2026-W33,ТС5,466.80,18.22,9
r_00000022,family_ivanovy,u_ivanovy,2026-W34,ТС5,572.53,6.38,10
r_00000023,family_ivanovy,u_ivanovy,2026-W34,ТС5,786.90,79.91,11
r_00000024,family_ivanovy,u_ivanovy,2026-W35,ТС5,557.11,78.56,8
r_00000025,family_ivanovy,u_ivanovy,2026-W35,ТС5,322.19,12.65,9
r_00000026,family_ivanovy,u_ivanovy,2026-W36,ТС5,432.08,13.89,5
r_00000027,family_ivanovy,u_ivanovy,2026-W36,ТС5,717.13,12.92,11
r_00000028,family_dima,u_dima,2026-W25,ТСЧ,667.61,66.05,7
r_00000029,family_dima,u_dima,2026-W25,ТСЧ,819.11,177.47,11
r_00000030,family_dima,u_dima,2026-W26,ТСЧ,670.23,119.09,8
r_00000031,family_dima,u_dima,2026-W26,ТСЧ,718.06,39.55,11
r_00000032,family_dima,u_dima,2026-W27,ТСЧ,823.48,45.20,5
r_00000033,family_dima,u_dima,2026-W27,ТСЧ,613.04,163.48,5
r_00000034,family_dima,u_dima,2026-W28,ТСЧ,752.08,99.11,11
r_00000035,family_dima,u_dima,2026-W28,ТСЧ,687.20,125.25,7
r_00000036,family_dima,u_dima,2026-W28,ТСЧ,716.82,210.80,11
r_00000037,family_dima,u_dima,2026-W29,ТСЧ,806.46,41.68,9
r_00000038,family_dima,u_dima,2026-W29,ТСЧ,762.18,68.18,9
r_00000039,family_dima,u_dima,2026-W30,ТСЧ,740.29,101.43,7
r_00000040,family_dima,u_dima,2026-W30,ТСЧ,972.93,149.57,6
r_00000041,family_dima,u_dima,2026-W31,ТСЧ,845.32,62.12,11
r_00000042,family_dima,u_dima,2026-W31,ТСЧ,862.00,40.11,6
r_00000043,family_dima,u_dima,2026-W31,ТСЧ,770.28,151.12,10
r_00000044,family_dima,u_dima,2026-W32,ТСЧ,547.77,231.06,6
r_00000045,family_dima,u_dima,2026-W32,ТСЧ,846.41,103.70,11
r_00000046,family_dima,u_dima,2026-W33,ТСЧ,557.06,43.93,5
r_00000047,family_dima,u_dima,2026-W33,ТСЧ,672.63,123.64,6
r_00000048,family_dima,u_dima,2026-W34,ТСЧ,747.86,113.17,8
r_00000049,family_dima,u_dima,2026-W34,ТСЧ,856.89,119.02,10
r_00000050,family_dima,u_dima,2026-W35,ТСЧ,593.73,154.01,7
r_00000051,family_dima,u_dima,2026-W35,ТСЧ,1001.86,46.56,7
r_00000052,family_dima,u_dima,2026-W36,ТСЧ,688.76,133.45,11
r_00000053,family_dima,u_dima,2026-W36,ТСЧ,994.55,108.66,9
r_00000235,family_000013,u_000013,2026-W25,ТС5,511.07,22.12,8
r_00000236,family_000013,u_000013,2026-W25,ТС5,680.71,47.46,8
r_00000237,family_000013,u_000013,2026-W25,ТС5,915.63,12.42,8
r_00000238,family_000013,u_000013,2026-W26,ТС5,722.78,54.95,11
r_00000239,family_000013,u_000013,2026-W26,ТС5,806.05,37.20,7
r_00000240,family_000013,u_000013,2026-W26,ТС5,588.47,39.75,11
r_00000241,family_000013,u_000013,2026-W27,ТС5,728.92,17.99,8
r_00000242,family_000013,u_000013,2026-W27,ТС5,713.14,24.34,7
r_00000243,family_000013,u_000013,2026-W28,ТС5,718.60,50.76,6
r_00000244,family_000013,u_000013,2026-W28,ТС5,762.00,41.64,11
r_00000245,family_000013,u_000013,2026-W28,ТС5,717.48,36.05,10
r_00000246,family_000013,u_000013,2026-W29,ТС5,485.17,33.52,10
r_00000247,family_000013,u_000013,2026-W29,ТС5,840.04,73.39,10
r_00000248,family_000013,u_000013,2026-W29,ТС5,762.16,94.55,8
r_00000249,family_000013,u_000013,2026-W30,ТС5,821.89,56.44,11
r_00000250,family_000013,u_000013,2026-W30,ТС5,546.13,15.27,5
r_00000251,family_000013,u_000013,2026-W30,ТС5,881.73,32.67,6
r_00000252,family_000013,u_000013,2026-W31,ТС5,666.38,23.35,5
r_00000253,family_000013,u_000013,2026-W31,ТС5,592.42,71.53,11
r_00000254,family_000013,u_000013,2026-W31,ТС5,686.65,34.49,8
r_00000255,family_000013,u_000013,2026-W32,ТС5,682.13,19.54,10
r_00000256,family_000013,u_000013,2026-W32,ТС5,614.80,18.95,5
r_00000257,family_000013,u_000013,2026-W32,ТС5,568.69,25.27,8
r_00000258,family_000013,u_000013,2026-W33,ТС5,704.39,0.00,6
r_00000259,family_000013,u_000013,2026-W33,ТС5,435.15,97.07,10
r_00000260,family_000013,u_000013,2026-W33,ТС5,691.37,22.32,11
r_00000261,family_000013,u_000013,2026-W34,ТС5,614.88,51.12,11
r_00000262,family_000013,u_000013,2026-W34,ТС5,659.12,64.32,8
r_00000263,family_000013,u_000013,2026-W34,ТС5,596.11,0.00,7
r_00000264,family_000013,u_000013,2026-W35,ТС5,633.74,56.89,6
r_00000265,family_000013,u_000013,2026-W35,ТС5,543.19,38.16,6
r_00000266,family_000013,u_000013,2026-W35,ТС5,421.07,11.17,10
r_00000267,family_000013,u_000013,2026-W36,ТС5,571.25,43.45,10
r_00000268,family_000013,u_000013,2026-W36,ТС5,513.86,28.37,7
r_00000269,family_000013,u_000013,2026-W36,ТС5,768.49,31.28,7
r_00000270,family_000013,u_000013,2026-W36,ТС5,557.49,17.91,5
r_00000271,family_000014,u_000014,2026-W25,ТС5,912.80,0.00,7
r_00000272,family_000014,u_000014,2026-W25,ТС5,626.90,37.85,10
r_00000273,family_000014,u_000014,2026-W26,ТС5,677.52,35.39,7
r_00000274,family_000014,u_000014,2026-W26,ТС5,598.16,25.31,5
r_00000275,family_000014,u_000014,2026-W27,ТС5,723.44,17.05,11
r_00000276,family_000014,u_000014,2026-W27,ТС5,587.10,38.30,6
r_00000277,family_000014,u_000014,2026-W27,ТС5,827.82,0.00,6
r_00000278,family_000014,u_000014,2026-W28,ТС5,688.05,80.05,5
r_00000279,family_000014,u_000014,2026-W28,ТС5,643.29,34.02,11
r_00000280,family_000014,u_000014,2026-W28,ТС5,605.98,38.25,10
r_00000281,family_000014,u_000014,2026-W29,ТС5,681.63,15.08,11
r_00000282,family_000014,u_000014,2026-W29,ТС5,449.17,39.92,10
r_00000283,family_000014,u_000014,2026-W29,ТС5,658.72,31.60,10
r_00000284,family_000014,u_000014,2026-W30,ТС5,490.18,63.56,6
r_00000285,family_000014,u_000014,2026-W30,ТС5,617.42,56.13,11
r_00000286,family_000014,u_000014,2026-W30,ТС5,519.64,31.38,5
r_00000287,family_000014,u_000014,2026-W31,ТС5,526.14,15.32,11
r_00000288,family_000014,u_000014,2026-W31,ТС5,514.13,53.17,5
r_00000289,family_000014,u_000014,2026-W31,ТС5,676.83,40.75,5
r_00000290,family_000014,u_000014,2026-W32,ТС5,702.90,67.09,7
r_00000291,family_000014,u_000014,2026-W32,ТС5,541.91,23.15,7
r_00000292,family_000014,u_000014,2026-W32,ТС5,653.16,7.99,9
r_00000293,family_000014,u_000014,2026-W33,ТС5,708.54,61.43,11
r_00000294,family_000014,u_000014,2026-W33,ТС5,684.62,0.00,10
r_00000295,family_000014,u_000014,2026-W34,ТС5,497.79,37.44,11
r_00000296,family_000014,u_000014,2026-W34,ТС5,633.95,44.95,9
r_00000297,family_000014,u_000014,2026-W34,ТС5,658.52,46.88,9
r_00000298,family_000014,u_000014,2026-W35,ТС5,443.60,30.94,7
r_00000299,family_000014,u_000014,2026-W35,ТС5,418.18,27.91,11
r_00000300,family_000014,u_000014,2026-W35,ТС5,455.86,58.79,7
r_00000301,family_000014,u_000014,2026-W36,ТС5,664.07,49.74,9
r_00000302,family_000014,u_000014,2026-W36,ТС5,612.03,15.47,7
r_00000303,family_000014,u_000014,2026-W36,ТС5,716.01,45.59,7
r_00000535,family_000025,u_000025,2026-W25,ТС5,750.22,71.11,8
r_00000536,family_000025,u_000025,2026-W25,ТС5,633.58,56.77,11
r_00000537,family_000025,u_000025,2026-W26,ТС5,795.45,56.25,5
r_00000538,family_000025,u_000025,2026-W27,ТС5,638.70,40.04,9
r_00000539,family_000025,u_000025,2026-W27,ТС5,560.33,52.56,6
