family_pooling_completion_multiplier,growthmeter_completion_multiplier,b_completion_rate,c_completion_rate_scenario,d_completion_rate_scenario,c_minus_b_pp_scenario,d_minus_c_pp_scenario,purchase_days_created
1.0,1.0,0.647984,0.647984,0.647984,0.0,0.0,0
1.0,1.05,0.647984,0.647984,0.680383,0.0,3.2399,0
1.0,1.1,0.647984,0.647984,0.712783,0.0,6.4798,0
1.0,1.2,0.647984,0.647984,0.777581,0.0,12.9597,0
1.05,1.0,0.647984,0.680383,0.680383,3.2399,0.0,0
1.05,1.05,0.647984,0.680383,0.714403,3.2399,3.4019,0
1.05,1.1,0.647984,0.680383,0.748422,3.2399,6.8038,0
1.05,1.2,0.647984,0.680383,0.81646,3.2399,13.6077,0
1.1,1.0,0.647984,0.712783,0.712783,6.4798,0.0,0
1.1,1.05,0.647984,0.712783,0.748422,6.4798,3.5639,0
1.1,1.1,0.647984,0.712783,0.784061,6.4798,7.1278,0
1.1,1.2,0.647984,0.712783,0.855339,6.4798,14.2557,0
1.2,1.0,0.647984,0.777581,0.777581,12.9597,0.0,0
1.2,1.05,0.647984,0.777581,0.81646,12.9597,3.8879,0
1.2,1.1,0.647984,0.777581,0.855339,12.9597,7.7758,0
1.2,1.2,0.647984,0.777581,0.933097,12.9597,15.5516,0
