family_id,week,assigned,challenge_completed,goal_saving_minor,eligible_saving_minor,growth_delta_cm,growth_total_cm,points,purchase_days_synthetic
family_000013,2026-W33,True,True,9008,9865,4.8,4.8,52,3
family_000013,2026-W34,True,False,899,11542,1.8,6.6,27,2
family_000013,2026-W35,True,False,0,3252,2.4,9.0,6,3
family_000013,2026-W36,True,True,3128,8799,5.0,14.0,42,4
family_000014,2026-W33,True,True,5542,5542,3.8,3.8,40,2
family_000014,2026-W34,True,True,8495,12929,4.6,8.4,54,3
family_000014,2026-W35,True,True,7162,10403,4.6,13.0,49,3
family_000014,2026-W36,True,True,5784,8722,4.4,17.4,42,3
family_000025,2026-W33,True,True,5200,12242,4.0,4.0,57,2
family_000025,2026-W34,True,False,0,1970,0.8,4.8,3,1
family_000025,2026-W35,True,True,2189,6516,3.6,8.4,38,2
family_000025,2026-W36,True,True,1914,1914,2.8,11.2,28,1
family_000027,2026-W33,True,False,0,13367,1.6,1.6,26,2
family_000027,2026-W34,True,True,15679,23777,4.4,6.0,88,2
family_000027,2026-W35,True,True,14665,26657,4.0,10.0,86,2
family_000027,2026-W36,True,False,3021,7772,1.0,11.0,19,1
family_000029,2026-W33,True,False,0,15956,2.0,2.0,39,2
family_000029,2026-W34,True,True,9908,26809,4.8,6.8,86,3
family_000029,2026-W35,True,True,3568,20920,5.0,11.8,82,3
family_000029,2026-W36,True,True,7221,21095,4.2,16.0,79,2
family_000049,2026-W33,True,True,4361,10818,3.8,3.8,50,2
family_000049,2026-W34,True,True,7300,24699,4.2,8.0,86,2
family_000049,2026-W35,True,True,6766,17461,3.2,11.2,67,1
family_000049,2026-W36,True,True,5506,21734,4.0,15.2,76,2
family_000057,2026-W33,True,True,5129,19320,4.6,4.6,67,3
family_000057,2026-W34,True,False,0,1796,0.8,5.4,3,1
family_000057,2026-W35,True,True,2899,5078,3.8,9.2,39,2
family_000057,2026-W36,True,False,0,3812,0.8,10.0,7,1
family_000058,2026-W33,True,False,0,5864,1.8,1.8,15,2
family_000058,2026-W34,True,True,4281,8607,3.8,5.6,46,2
family_000058,2026-W35,True,False,0,4288,0.8,6.4,8,1
family_000058,2026-W36,True,False,0,1386,1.6,8.0,2,2
family_000059,2026-W33,True,True,6091,24107,4.8,4.8,81,3
family_000059,2026-W34,True,False,0,11368,2.4,7.2,22,3
