family_id,league_id,members,rank,points,gap_to_top3_points
family_000122,ТС5-1,50,1,348,0
family_000151,ТС5-1,50,2,300,0
family_000179,ТС5-1,50,3,293,0
family_000029,ТС5-1,50,4,286,7
family_000061,ТС5-1,50,5,282,11
family_000202,ТС5-1,50,6,250,43
family_000138,ТС5-1,50,7,244,49
family_000243,ТС5-1,50,8,215,78
family_000142,ТС5-1,50,9,210,83
family_000221,ТС5-1,50,10,202,91
family_000262,ТС5-1,50,11,194,99
family_000106,ТС5-1,50,12,193,100
family_000170,ТС5-1,50,12,193,100
family_000133,ТС5-1,50,14,188,105
family_000014,ТС5-1,50,15,185,108
family_000109,ТС5-1,50,16,171,122
family_000067,ТС5-1,50,17,170,123
family_000148,ТС5-1,50,18,161,132
family_000101,ТС5-1,50,19,155,138
family_000239,ТС5-1,50,20,154,139
family_000256,ТС5-1,50,21,152,141
family_000124,ТС5-1,50,22,151,142
family_000184,ТС5-1,50,23,140,153
family_000199,ТС5-1,50,24,137,156
family_000110,ТС5-1,50,25,129,164
family_000130,ТС5-1,50,26,128,165
family_000224,ТС5-1,50,26,128,165
family_000013,ТС5-1,50,28,127,166
family_000025,ТС5-1,50,29,126,167
family_000190,ТС5-1,50,30,123,170
family_000091,ТС5-1,50,31,121,172
family_000203,ТС5-1,50,32,120,173
family_000057,ТС5-1,50,33,116,177
family_000218,ТС5-1,50,33,116,177
family_000254,ТС5-1,50,33,116,177
family_000093,ТС5-1,50,36,109,184
family_000127,ТС5-1,50,37,107,186
family_000162,ТС5-1,50,38,100,193
family_000252,ТС5-1,50,39,97,196
family_000096,ТС5-1,50,40,93,200
family_000132,ТС5-1,50,41,85,208
family_000236,ТС5-1,50,42,82,211
family_000174,ТС5-1,50,43,80,213
family_000198,ТС5-1,50,44,77,216
family_000215,ТС5-1,50,45,75,218
family_000085,ТС5-1,50,46,73,220
family_000058,ТС5-1,50,47,71,222
family_000195,ТС5-1,50,48,67,226
family_000204,ТС5-1,50,49,57,236
family_000169,ТС5-1,50,50,27,266
family_000440,ТС5-2,50,1,283,0
family_000398,ТС5-2,50,2,263,0
family_000452,ТС5-2,50,3,260,0
family_000350,ТС5-2,50,4,246,14
family_000420,ТС5-2,50,4,246,14
family_000406,ТС5-2,50,6,242,18
family_000404,ТС5-2,50,7,216,44
family_000438,ТС5-2,50,8,199,61
family_000437,ТС5-2,50,9,194,66
family_000461,ТС5-2,50,10,178,82
family_000436,ТС5-2,50,11,176,84
family_000284,ТС5-2,50,12,164,96
family_000268,ТС5-2,50,13,163,97
family_000267,ТС5-2,50,14,161,99
family_000300,ТС5-2,50,14,161,99
family_000487,ТС5-2,50,16,160,100
family_000372,ТС5-2,50,17,159,101
family_000391,ТС5-2,50,18,154,106
family_000459,ТС5-2,50,19,152,108
family_000393,ТС5-2,50,20,149,111
family_000450,ТС5-2,50,20,149,111
family_000368,ТС5-2,50,22,147,113
family_000275,ТС5-2,50,23,146,114
family_000360,ТС5-2,50,24,143,117
family_000476,ТС5-2,50,25,140,120
family_000470,ТС5-2,50,26,139,121
family_000322,ТС5-2,50,27,133,127
family_000276,ТС5-2,50,28,129,131
family_000433,ТС5-2,50,29,128,132
family_000304,ТС5-2,50,30,127,133
family_000363,ТС5-2,50,31,126,134
family_000423,ТС5-2,50,32,121,139
family_000365,ТС5-2,50,33,113,147
family_000339,ТС5-2,50,34,112,148
family_000405,ТС5-2,50,34,112,148
family_000469,ТС5-2,50,36,111,149
family_000390,ТС5-2,50,37,108,152
family_000448,ТС5-2,50,38,107,153
family_000415,ТС5-2,50,39,95,165
family_000272,ТС5-2,50,40,94,166
family_000298,ТС5-2,50,41,91,169
family_000362,ТС5-2,50,42,88,172
family_000485,ТС5-2,50,43,87,173
family_000455,ТС5-2,50,44,83,177
family_000351,ТС5-2,50,45,82,178
family_000386,ТС5-2,50,46,74,186
family_000417,ТС5-2,50,47,73,187
family_000388,ТС5-2,50,48,66,194
family_000356,ТС5-2,50,49,54,206
family_000475,ТС5-2,50,50,53,207
family_000675,ТС5-3,50,1,286,0
family_000708,ТС5-3,50,2,241,0
family_000614,ТС5-3,50,3,240,0
family_000557,ТС5-3,50,4,226,14
family_000682,ТС5-3,50,5,223,17
family_000755,ТС5-3,50,6,219,21
family_000665,ТС5-3,50,7,214,26
family_000743,ТС5-3,50,8,212,28
family_000606,ТС5-3,50,9,209,31
family_000780,ТС5-3,50,10,205,35
family_000618,ТС5-3,50,11,200,40
family_000746,ТС5-3,50,12,197,43
family_000689,ТС5-3,50,13,191,49
